"Q260","Q262","Q275","Q71","Q115","Q113","Q199","Q251","Q33"
2,38,8,1,2,2,2,9,5
1,58,2,1,3,1,1,2,2
1,63,2,1,3,1,1,6,4
2,24,6,1,2,2,2,7,4
1,56,6,1,3,2,1,7,1
2,53,3,2,2,1,1,8,1
2,50,3,2,2,2,2,6,4
1,24,6,1,2,2,1,7,4
2,50,3,1,2,2,3,9,4
2,27,6,1,2,2,2,5,4
2,51,2,1,2,1,4,10,1
1,41,6,2,2,2,2,2,3
2,61,3,1,2,2,2,4,4
2,46,2,1,2,2,3,8,2
1,24,6,2,2,2,3,8,2
1,62,2,2,2,2,1,6,2
2,68,1,2,3,3,1,7,2
2,46,6,2,1,2,3,9,2
1,28,0,1,4,4,2,1,4
1,27,6,2,3,3,2,8,4
1,66,6,3,4,4,1,1,1
2,28,-2,2,2,2,3,7,1
1,38,-2,1,2,2,1,8,1
1,18,3,1,2,2,2,6,4
2,37,1,1,-2,2,4,5,2
1,40,1,2,3,2,3,-2,2
2,39,1,2,3,3,4,-2,2
1,20,6,1,1,2,3,9,3
2,24,7,2,2,2,2,7,4
1,56,3,2,2,2,2,7,2
2,46,2,1,2,2,2,10,1
2,46,2,2,3,2,3,1,2
2,42,3,2,3,3,2,10,4
2,46,2,1,3,3,4,10,5
1,58,1,2,2,2,4,3,1
2,30,6,2,3,3,2,9,1
2,40,2,2,2,2,2,10,2
1,61,2,3,3,3,2,1,2
1,28,6,2,3,2,2,3,4
2,54,3,2,-2,-2,2,-2,2
1,41,1,1,2,3,4,7,4
2,61,3,1,3,3,2,8,4
1,47,3,2,2,2,3,5,1
1,25,3,2,3,2,4,1,4
2,56,3,2,3,2,3,8,4
2,39,1,2,2,2,3,10,4
1,70,2,1,3,2,3,7,4
1,37,2,2,-2,-2,3,9,1
1,18,3,2,2,2,3,8,3
1,31,2,1,2,2,4,10,2
2,54,1,2,3,2,2,9,2
2,56,3,2,3,2,2,6,3
2,53,1,1,3,3,2,8,2
2,38,1,1,2,2,2,8,4
2,53,2,2,-2,-2,3,7,2
1,40,2,2,2,2,3,8,2
2,42,1,1,2,1,1,5,2
2,40,3,1,3,2,3,10,5
2,19,2,1,2,2,2,10,2
1,70,1,1,2,2,3,9,2
1,50,0,2,2,2,4,7,2
2,42,2,2,2,2,4,3,4
1,26,2,3,2,2,2,8,5
2,24,6,2,-2,2,2,6,3
2,48,0,2,2,-2,3,8,2
2,39,2,2,1,1,3,7,5
2,69,2,1,2,2,1,10,1
1,42,6,1,2,2,1,10,4
2,67,1,2,2,2,3,7,3
1,65,0,1,2,2,1,9,1
1,67,2,1,1,1,1,8,2
1,18,3,1,2,1,3,8,2
1,20,3,2,2,2,4,8,4
2,19,6,1,2,2,3,6,4
2,51,1,1,2,2,2,10,2
1,34,-2,1,1,2,2,5,3
2,48,3,2,1,1,3,7,4
1,68,2,1,2,2,3,7,4
1,66,1,1,3,2,1,6,4
2,48,1,1,2,2,1,9,1
2,66,1,1,2,2,1,9,5
2,60,0,1,2,2,4,8,2
2,50,2,1,2,3,3,6,1
1,70,2,2,3,3,1,8,4
1,42,2,2,3,3,3,3,4
2,68,2,1,3,-2,4,6,2
1,40,2,1,2,1,3,8,2
2,25,3,4,2,2,3,10,5
1,49,1,1,2,2,3,9,2
2,64,2,2,2,2,3,8,2
2,42,3,2,2,2,2,10,4
1,31,2,1,3,3,4,8,2
2,69,0,1,1,2,3,5,4
1,65,0,1,2,2,1,10,2
1,18,3,3,3,3,3,5,2
1,66,2,2,2,2,3,10,1
1,68,1,1,2,2,1,5,4
2,63,0,2,4,2,2,6,4
2,54,6,1,2,2,2,7,4
2,44,3,2,2,2,3,8,4
1,40,2,2,-2,-2,3,7,2
1,40,2,2,3,2,2,6,2
2,65,0,1,2,2,4,9,1
2,62,3,2,2,2,2,10,4
2,49,2,1,1,1,2,10,3
1,63,2,4,3,-2,1,3,-2
1,49,2,1,3,2,4,5,4
2,31,6,2,3,3,4,5,2
1,62,3,1,2,2,1,9,4
1,45,3,1,2,2,3,8,5
2,52,2,1,2,3,4,2,2
2,39,6,1,2,2,3,10,5
1,69,1,1,2,2,1,10,4
1,46,3,2,3,3,3,7,2
1,64,2,2,2,1,4,1,4
1,22,6,2,3,3,4,7,1
2,58,3,1,3,1,2,6,2
1,56,2,2,2,2,4,7,1
1,48,2,2,3,2,2,10,1
1,61,3,1,2,2,2,9,4
2,54,3,1,3,2,2,5,1
1,52,2,1,3,2,2,9,1
2,43,2,1,3,1,1,9,1
2,46,2,1,-1,-1,2,10,5
2,49,2,1,2,2,4,6,3
1,32,1,4,3,3,4,1,1
1,60,3,1,3,3,1,5,1
2,42,3,1,3,3,4,9,4
2,50,2,2,2,2,3,6,1
2,51,3,1,-2,-1,4,9,4
2,32,3,2,2,2,2,6,4
1,63,2,1,2,2,2,10,2
1,56,3,1,2,2,2,10,2
2,67,2,1,3,3,2,6,1
2,64,1,1,3,1,3,10,2
1,56,2,1,3,3,4,9,4
1,40,1,1,2,2,1,10,4
1,45,2,1,4,4,2,7,2
1,35,3,2,3,2,1,7,5
2,35,3,1,2,2,2,7,4
2,57,2,1,3,2,3,5,4
1,40,1,2,2,2,2,5,2
1,29,3,2,2,2,2,6,3
2,47,2,1,2,2,2,9,2
2,35,1,4,4,2,3,5,4
2,63,3,1,4,2,2,10,2
1,49,3,1,2,3,4,6,5
2,63,1,1,2,2,2,6,2
1,22,6,2,2,2,3,6,4
2,33,3,1,2,2,4,8,5
2,64,1,1,2,2,2,6,4
1,44,2,1,3,2,3,8,2
1,53,1,1,3,2,3,8,1
1,39,3,1,3,2,2,8,1
1,63,2,1,2,2,3,8,2
2,48,2,1,2,2,3,6,2
1,20,3,1,2,2,1,5,1
1,61,1,1,2,2,1,10,2
2,61,2,1,2,3,2,8,5
2,66,0,2,2,-2,4,4,4
2,66,3,1,3,3,2,7,2
1,62,2,2,2,2,2,5,4
2,54,2,1,3,2,2,10,4
2,57,2,1,3,3,2,8,1
1,47,1,1,3,2,2,8,2
1,43,3,1,3,2,1,7,2
1,40,2,1,2,2,1,7,1
1,57,1,2,3,3,3,-1,2
2,47,3,2,3,3,3,7,2
2,54,2,2,2,2,2,3,4
2,31,3,2,2,3,4,6,4
2,56,2,2,3,2,1,10,4
